measurement,value_deg,target_lo,target_hi,verdict
Knee Extension,31.8,32,38,LOW
Hip Open,104.2,96,104,HIGH
Back Angle,42.8,37,43,OK
Shoulder Angle,71.4,86,93,LOW
Arm Angle,147.4,145,175,OK
