measurement,value_deg,target_lo,target_hi,verdict
Knee Extension,30,32,38,LOW
Hip Open,110.1,96,104,HIGH
Back Angle,46.1,37,43,HIGH
Shoulder Angle,77.4,86,93,LOW
Arm Angle,159.8,145,175,OK
