measurement,value_deg,target_lo,target_hi,verdict
Knee Extension,20.4,32,38,LOW
Hip Open,119.3,96,104,HIGH
Back Angle,48.3,37,43,HIGH
Shoulder Angle,70.4,86,93,LOW
Arm Angle,158.0,145,175,OK
