measurement,value_deg,target_lo,target_hi,verdict
Knee Extension,20.6,32,38,LOW
Hip Open,105.3,96,104,HIGH
Back Angle,39.2,37,43,OK
Shoulder Angle,84.8,86,93,LOW
Arm Angle,162.5,145,175,OK
