measurement,value_deg,target_lo,target_hi,verdict
Knee Extension,14.9,32,38,LOW
Hip Open,104.0,96,104,HIGH
Back Angle,34.6,37,43,LOW
Shoulder Angle,72.0,86,93,LOW
Arm Angle,162.0,145,175,OK
