measurement,value_deg,target_lo,target_hi,verdict
Knee Extension,15.5,32,38,LOW
Hip Open,111.8,96,104,HIGH
Back Angle,41.3,37,43,OK
Shoulder Angle,58.4,86,93,LOW
Arm Angle,130.9,145,175,LOW
